,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
96,Vidalia,GA,32.2125,-82.4019,4259554,Nate,McBride,223.0,74.0,22.0,4.0,LB,USA,Georgia,#CC0000,SEC
97,Lilburn,GA,33.8887,-84.1379,4575113,Jarrett,Freeland,258.0,79.0,48.0,2.0,TE,USA,Georgia,#CC0000,SEC
98,Jesup,GA,31.5991,-81.8898,4575124,David,Vann,305.0,76.0,64.0,1.0,OL,USA,Georgia,#CC0000,SEC
99,Loganville,GA,33.8353,-83.8957,3915198,Justin,Young,275.0,76.0,92.0,3.0,DE,USA,Georgia,#CC0000,SEC
100,Cordele,GA,31.9563,-83.7695,4379416,Quay,Walker,240.0,76.0,25.0,3.0,LB,USA,Georgia,#CC0000,SEC
101,Toccoa,GA,34.5807,-83.3256,4035002,Ben,Cleveland,335.0,78.0,74.0,4.0,OL,USA,Georgia,#CC0000,SEC
102,Fort Valley,GA,32.5522,-83.8817,4361778,Kearis,Jackson,200.0,72.0,10.0,2.0,WR,USA,Georgia,#CC0000,SEC
103,Cairo,GA,30.879,-84.205,4259571,Walter,Grant,245.0,76.0,84.0,4.0,LB,USA,Georgia,#CC0000,SEC
104,Cairo,GA,30.879,-84.205,4053807,Koby,Pyrz,282.0,74.0,49.0,3.0,OL,USA,Georgia,#CC0000,SEC
105,Swainsboro,GA,32.5866,-82.3345,4575119,KJ,McCoy,200.0,70.0,39.0,3.0,RB,USA,Georgia,#CC0000,SEC
106,Jackson,GA,33.292,-83.9678,4035000,Michail,Carter,295.0,75.0,76.0,4.0,DL,USA,Georgia,#CC0000,SEC
107,Forsyth,GA,33.0347,-83.938,4259547,Malik,Herring,280.0,75.0,10.0,4.0,DL,USA,Georgia,#CC0000,SEC
108,Byron,GA,32.6475,-83.754,4035013,Tyrique,McGhee,187.0,70.0,26.0,4.0,DB,USA,Georgia,#CC0000,SEC
109,Byron,GA,32.6475,-83.754,4575118,Tyler,Malakius,280.0,75.0,97.0,1.0,DL,USA,Georgia,#CC0000,SEC
110,Sandersville,GA,32.9827,-82.8089,4391366,Darius,Jackson,200.0,70.0,29.0,3.0,RB,USA,Georgia,#CC0000,SEC
